GOAT_Rank,name,era,SWISH_Score,swish_version,peak_dominance_score,career_value_score,championship_impact_score,individual_honors_score,statistical_excellence_score,longevity_score,career_ppg,career_rpg,career_apg,career_per,career_ws,career_ts_pct,career_stl_per_g,career_blk_per_g,championships,finals_mvp,mvp,all_star,dpoy,all_defensive_first,all_defensive_second
75,Billy Cunningham,golden_age,36.84507850482851,2.1,64.0482142857143,37.12178571428571,9.504545454545454,13.615384615384615,45.779761904761905,58.008974358974356,21.2,10.4,4.3,21.1,59.5,0.518,0.7,1.5,1,0,0,4,0,0,0
76,Dikembe Mutombo,golden_age,36.742538111888116,2.1,29.3125,49.572,6.886363636363637,30.73076923076923,44.79166666666667,82.6,9.8,10.3,1.0,17.3,119.2,0.5861000000000001,0.7,2.8,0,0,0,8,4,3,3
77,Dennis Rodman,golden_age,36.43017842157842,2.1,24.25,38.918,43.022727272727266,23.307692307692307,37.76666666666666,60.308791208791206,7.3,13.1,1.8,14.6,89.8,0.5794,0.7,1.5,5,0,0,2,2,7,1
78,Wes Unseld,golden_age,36.15443917748918,2.1,32.275,48.97314285714286,24.41363636363636,14.51923076923077,40.575,67.57948717948717,10.8,14.0,3.9,16.8,110.1,0.5723,0.7,1.5,1,1,1,5,0,0,0
79,Sam Jones,golden_age,35.901021520146514,2.1,52.187499999999986,23.929821428571426,45.5,10.26923076923077,22.958928571428558,65.93333333333332,17.7,4.9,2.5,16.5,67.0,0.5363,1.3,0.3,10,0,0,5,0,0,0
80,Sidney Moncrief,golden_age,35.73025774225775,2.1,48.66785714285714,24.86857142857143,19.161421911421932,34.269230769230774,38.33333333333333,63.0030303030303,15.6,4.7,3.6,19.0,74.0,0.5863,1.3,0.3,0,0,0,5,2,4,1
81,Bernard King,golden_age,35.602376332001334,2.1,66.3625,26.081785714285715,1.909090909090909,13.758241758241759,53.348214285714285,66.657326007326,22.5,5.8,3.3,20.1,58.0,0.591,1.3,0.3,0,0,0,4,0,0,0
82,Jo Jo White,golden_age,35.46767649017649,2.1,43.75,28.70714285714286,48.05454545454545,11.076923076923077,17.92619047619048,70.14871794871794,17.2,4.0,4.9,16.0,67.5,0.5256000000000001,1.3,0.3,2,1,0,7,0,0,0
83,Draymond Green,golden_age,35.460231000321514,2.1,25.0,36.000625,56.33113897596657,23.01538461538462,16.658333333333324,60.42820512820512,8.7,7.0,5.6,15.0,73.5,0.5183,1.0,0.8,4,0,0,4,1,4,3
84,Dennis Johnson,golden_age,35.3224558941059,2.1,34.792857142857144,33.51657142857143,41.17272727272727,24.169230769230772,17.938333333333343,71.0989010989011,14.1,3.9,5.0,16.6,81.8,0.5247,1.3,0.3,3,1,0,5,0,6,3
85,Hal Greer,golden_age,35.10315735930736,2.1,47.17857142857142,38.336214285714284,12.57272727272727,22.03846153846154,25.048809523809517,84.22564102564102,19.2,5.0,4.0,16.4,99.3,0.5321,1.3,0.3,1,0,0,10,0,0,0
86,Tiny Archibald,golden_age,35.041354329004335,2.1,62.3875,32.633714285714284,9.504545454545454,19.565934065934066,28.182619047619056,69.73919413919414,18.8,2.3,7.4,17.5,60.3,0.548,1.3,0.3,1,0,0,6,0,0,0
87,Pete Maravich,golden_age,34.83489875124875,2.1,66.55,31.811999999999998,1.7727272727272727,15.912087912087912,41.85119047619047,61.434615384615384,24.2,4.2,5.4,20.2,46.7,0.523,1.3,0.3,0,0,0,5,0,0,0
88,Kyle Lowry,golden_age,34.43624743589743,2.1,45.06249999999999,44.458,26.1653846153846,7.4230769230769225,15.874999999999993,78.04358974358975,14.3,4.3,6.2,17.7,103.8,0.506,1.3,0.3,1,0,0,6,0,0,0
89,Manu Ginobili,golden_age,34.30481665001665,2.1,40.66964285714285,36.50971428571429,40.06363636363636,3.3076923076923075,24.750000000000007,66.47564102564102,13.3,3.5,3.8,19.5,106.4,0.5297000000000001,1.3,0.3,4,0,0,2,0,0,0
90,DeMar DeRozan,golden_age,34.19378613053613,2.1,60.4375,31.93142857142857,4.159090909090909,8.923076923076923,39.49642857142857,76.25256410256411,21.2,4.4,4.0,18.9,78.5,0.5512,1.3,0.3,0,0,0,6,0,0,0
91,Blake Griffin,golden_age,34.19197385947386,2.1,54.11607142857143,37.39642857142857,4.909090909090909,12.423076923076923,42.17619047619046,67.17765567765568,18.6,8.0,4.0,20.1,77.5,0.5618,1.0,0.8,0,0,0,6,0,0,0
92,Joe Dumars,golden_age,34.16752455877456,2.1,46.69642857142857,31.10571428571429,30.236363636363635,13.423076923076923,21.63166666666666,73.01611721611721,16.1,2.2,4.5,17.0,84.5,0.5443,1.3,0.3,2,1,0,6,0,0,5
93,Vince Carter,post_jordan,33.96595802574618,2.1,57.4375,40.323263157894736,6.0,10.571428571428571,21.358991228070177,84.24242424242424,16.7,4.3,3.1,16.3,125.3,0.5148,1.3,0.3,0,0,0,8,0,0,0
94,Dave Bing,golden_age,33.22679055111555,2.1,60.57678571428571,33.748999999999995,2.1136363636363633,16.71978021978022,27.62249999999998,72.87564102564102,20.3,3.8,6.0,18.3,58.9,0.5185,1.3,0.3,0,0,0,7,0,0,0
95,Ben Wallace,golden_age,32.95725895770896,2.1,22.9375,34.194,34.413636363636364,30.115384615384613,20.24547619047618,70.94102564102565,5.7,9.6,1.3,13.9,73.4,0.5154,0.7,2.1,1,0,0,4,4,5,1
96,Klay Thompson,golden_age,32.13114197469198,2.1,41.79464285714286,24.375999999999998,35.97272727272727,7.56923076923077,27.691666666666677,64.13333333333333,19.6,3.5,2.3,16.1,71.1,0.5448000000000001,1.3,0.3,4,0,0,5,0,0,1
97,Lenny Wilkens,golden_age,31.90883752913753,2.1,43.375,45.986000000000004,10.663636363636364,10.384615384615383,14.849999999999985,81.18717948717949,16.5,4.7,6.7,16.8,104.6,0.5094,1.3,0.3,1,0,0,9,0,0,0
98,Gail Goodrich,golden_age,30.860139194139194,2.1,54.774999999999984,26.850000000000005,11.55,8.26923076923077,25.78285714285715,71.17326007326008,18.6,3.2,4.7,17.4,60.0,0.5367000000000001,1.3,0.3,1,0,0,5,0,0,0
99,Earl Monroe,golden_age,29.624856393606393,2.1,55.257142857142846,22.45,10.663636363636364,7.115384615384615,28.822619047619064,65.6,18.8,3.0,3.9,17.8,55.0,0.5447000000000001,1.3,0.3,1,0,0,4,0,0,0
100,Nate Thurmond,golden_age,29.54229215784216,2.1,39.41071428571428,39.166,5.522727272727272,15.976923076923077,20.674999999999994,72.24615384615386,15.0,15.0,2.7,17.4,82.6,0.4877,0.7,1.5,0,0,0,7,0,2,3
