Team,Conference,Final_Score,Experience,Off_TO_Pct,Def_TO_Pct,Turnover_Margin,KenPom_Rank,AdjEM,AdjOE,AdjDE,AdjOE_Rank,AdjDE_Rank,defensive_rating_score,offensive_rating_score,recent_performance_score,experience_score,turnover_margin_score,Final_Rank,Rank_Change
Georgia,SEC,77.70054945054946,1.86,18.9,18.0,-0.8999999999999986,38,18.5,115.3,96.8,57,32,91.20879120879121,84.34065934065934,75,55,35.714285714285715,52,-14
Pittsburgh,ACC,76.26373626373625,2.68,14.8,18.3,3.5,63,13.5,115.7,102.2,53,90,75.27472527472527,84.89010989010988,65,70,94.28571428571429,53,10
Cincinnati,B12,75.56703296703296,2.18,15.5,19.6,4.100000000000001,55,14.799999999999995,110.6,95.8,100,22,95.68131868131869,71.7032967032967,65,50,97.03296703296702,54,1
USC,B10,75.29945054945054,2.53,17.7,17.7,0.0,58,14.399999999999991,116.6,102.2,41,88,75.27472527472527,88.73626373626374,65,70,51.92307692307693,55,3
Villanova,BE,75.24450549450549,2.9,15.3,15.8,0.5,55,14.799999999999995,118.6,103.8,26,108,69.78021978021978,92.85714285714286,65,70,59.065934065934066,56,-1
North Texas,Amer,74.39285714285714,2.86,16.7,19.6,2.900000000000002,71,11.299999999999995,109.7,98.4,114,45,87.63736263736264,67.85714285714286,65,70,84.89010989010988,57,14
Penn St.,B10,74.03021978021978,2.49,17.4,19.8,2.400000000000002,57,14.400000000000006,115.2,100.8,58,69,81.04395604395604,83.79120879120879,65,50,81.5934065934066,58,-1
West Virginia,B12,73.36923076923077,2.14,16.2,19.4,3.1999999999999993,54,15.099999999999994,109.0,93.9,134,15,97.87912087912088,62.91208791208791,65,50,92.63736263736264,59,-5
Kansas St.,B12,73.0467032967033,2.57,17.7,18.1,0.40000000000000213,65,12.200000000000005,109.4,97.2,125,36,90.10989010989012,65.38461538461539,65,70,57.96703296703297,60,5
Santa Clara,WCC,72.25824175824175,2.12,16.7,16.6,-0.09999999999999787,59,14.299999999999995,116.3,102.0,45,85,76.64835164835165,87.36263736263736,65,50,51.098901098901095,61,-2
Nevada,MWC,71.87362637362638,2.92,15.5,18.7,3.1999999999999993,78,9.799999999999995,112.8,103.0,77,96,73.62637362637363,78.84615384615384,55,70,92.63736263736264,62,16
Utah St.,MWC,71.85824175824175,2.16,16.0,20.1,4.100000000000001,61,14.0,119.8,105.8,20,150,58.51648351648352,96.5054945054945,65,50,97.03296703296702,63,-2
Minnesota,B10,71.15384615384615,3.19,16.6,16.3,-0.3000000000000007,85,9.099999999999994,110.6,101.5,101,77,78.57142857142857,71.7032967032967,55,85,46.42857142857143,64,21
Drake,MVC,71.0576923076923,0.32,18.4,21.8,3.400000000000002,52,15.100000000000009,112.9,97.8,75,42,88.46153846153845,79.3956043956044,65,20,94.01098901098901,65,-13
UCF,B12,70.25274725274726,2.19,16.5,17.7,1.1999999999999993,67,11.900000000000006,116.0,104.1,50,113,68.68131868131869,85.98901098901099,65,50,67.03296703296702,66,1
San Diego St.,MWC,70.08901098901099,1.53,16.8,19.5,2.6999999999999993,51,15.200000000000005,109.8,94.6,113,16,97.6043956043956,68.95604395604396,65,20,82.41758241758241,67,-16
Wake Forest,ACC,70.03296703296704,2.14,16.7,19.7,3.0,72,11.200000000000005,108.3,97.1,145,34,90.65934065934066,60.16483516483516,65,50,85.71428571428571,68,4
Lipscomb,ASun,69.12362637362638,2.68,14.8,15.9,1.0999999999999996,89,8.5,112.0,103.5,88,101,71.97802197802197,75.82417582417582,55,70,65.65934065934066,69,20
Arizona St.,B12,68.78296703296704,2.05,17.6,16.1,-1.5,73,11.0,112.4,101.4,83,74,79.12087912087912,76.92307692307693,65,50,29.395604395604398,70,3
Dayton,A10,68.72527472527473,2.94,15.5,17.6,2.1000000000000014,77,10.0,115.7,105.7,54,148,59.34065934065934,84.89010989010988,55,70,79.12087912087912,71,6
Utah,B12,67.76648351648352,2.03,17.8,15.6,-2.200000000000001,75,10.5,112.5,102.0,82,84,76.64835164835165,77.47252747252747,65,50,20.604395604395602,72,3
Liberty,CUSA,67.68956043956044,1.89,15.4,17.0,1.5999999999999996,64,12.399999999999991,111.8,99.4,90,54,85.16483516483517,75.0,65,20,72.8021978021978,73,-9
Arkansas St.,SB,67.30494505494505,2.07,14.7,17.0,2.3000000000000007,83,9.100000000000009,111.4,102.3,93,91,74.72527472527473,74.45054945054946,55,50,81.04395604395604,74,9
San Francisco,WCC,67.26373626373626,1.75,16.7,17.8,1.1000000000000014,66,12.099999999999994,111.8,99.7,91,55,84.89010989010988,75.0,65,20,65.93406593406593,75,-9
Oklahoma St.,B12,66.6923076923077,2.84,19.0,20.3,1.3000000000000007,96,6.900000000000006,108.0,101.1,148,72,80.21978021978022,59.065934065934066,55,70,68.13186813186813,76,20
Butler,BE,66.43956043956044,2.83,16.2,11.4,-4.799999999999999,75,10.5,117.2,106.7,38,169,53.57142857142857,89.56043956043956,65,70,0.0,77,-2
Iowa,B10,66.24560439560439,1.8,13.7,17.9,4.199999999999999,62,13.599999999999994,120.1,106.5,18,167,54.12087912087912,97.05494505494505,65,20,97.85714285714286,78,-16
Saint Joseph's,A10,65.8489010989011,2.22,16.4,16.2,-0.1999999999999993,83,9.100000000000009,109.7,100.6,116,66,81.86813186813187,67.85714285714286,55,50,48.62637362637363,79,4
Rutgers,B10,65.64285714285714,1.57,15.4,17.4,1.9999999999999982,69,11.5,115.7,104.2,55,116,67.58241758241759,84.89010989010988,65,20,78.02197802197803,80,-11
Yale,Ivy,65.06593406593407,1.72,14.5,16.1,1.6000000000000014,73,11.0,115.2,104.2,59,115,67.58241758241759,83.79120879120879,65,20,73.07692307692307,81,-8
George Mason,A10,64.87912087912088,2.84,19.8,19.2,-0.6000000000000014,79,9.5,106.2,96.7,194,31,91.48351648351648,46.42857142857143,55,70,40.10989010989011,82,-3
South Carolina,SEC,64.25549450549451,1.89,18.4,15.6,-2.799999999999999,69,11.5,110.6,99.1,102,49,86.26373626373626,71.7032967032967,65,20,17.307692307692307,83,-14
UNLV,MWC,64.1868131868132,2.12,16.2,17.8,1.6000000000000014,93,7.200000000000003,107.5,100.3,158,59,83.51648351648352,56.59340659340659,55,50,73.07692307692307,84,9
LSU,SEC,63.513736263736256,2.1,18.6,16.5,-2.1000000000000014,88,8.700000000000003,109.2,100.5,131,64,82.41758241758241,64.01098901098901,55,50,21.703296703296704,85,3
Grand Canyon,WAC,62.99175824175824,2.62,18.5,20.4,1.8999999999999986,101,6.300000000000011,107.4,101.1,163,71,80.21978021978022,55.219780219780226,40,70,77.1978021978022,86,15
Stanford,ACC,62.88736263736263,1.4,15.6,17.4,1.799999999999999,81,9.299999999999995,112.5,103.2,81,99,72.8021978021978,77.47252747252747,55,20,76.0989010989011,87,-6
UC Irvine,BW,62.25934065934065,1.76,18.0,17.2,-0.8000000000000007,68,11.800000000000011,106.9,95.1,177,20,96.5054945054945,51.373626373626365,65,20,37.91208791208791,88,-20
Notre Dame,ACC,62.07142857142857,2.05,16.5,14.9,-1.5999999999999996,97,6.899999999999992,111.3,104.4,95,121,66.75824175824175,73.9010989010989,55,50,27.472527472527474,89,8
Georgetown,BE,61.651098901098905,1.72,17.0,19.3,2.3000000000000007,89,8.5,108.7,100.2,139,58,84.06593406593407,61.26373626373627,55,20,81.04395604395604,90,-1
Washington,B10,61.521978021978015,2.5,17.5,16.7,-0.8000000000000007,104,5.799999999999997,109.6,103.8,118,110,69.78021978021978,67.3076923076923,40,70,37.91208791208791,91,13
High Point,BSth,60.89010989010989,2.38,15.3,16.4,1.0999999999999979,82,9.200000000000005,118.4,109.2,27,226,37.91208791208791,92.58241758241759,55,50,64.83516483516483,92,-10
Florida St.,ACC,60.840659340659336,1.34,17.5,19.1,1.6000000000000014,91,8.200000000000003,108.8,100.6,138,65,81.86813186813187,62.08791208791209,55,20,73.07692307692307,93,-2
UNC Wilmington,CAA,60.06593406593406,2.64,16.1,17.2,1.0999999999999979,105,5.299999999999997,112.2,106.9,85,177,51.373626373626365,76.37362637362637,40,70,64.83516483516483,94,11
Bradley,MVC,59.05494505494505,1.97,17.4,15.7,-1.6999999999999993,92,7.900000000000006,111.5,103.6,92,103,71.15384615384616,74.72527472527473,55,20,25.82417582417583,95,-3
N.C. State,ACC,58.662087912087905,2.46,14.4,18.6,4.200000000000001,124,3.6999999999999886,107.6,103.9,153,111,69.5054945054945,57.96703296703297,40,50,98.4065934065934,96,28
Middle Tennessee,CUSA,58.58241758241758,2.51,16.6,16.0,-0.6000000000000014,118,4.0,109.2,105.2,129,135,62.91208791208791,64.01098901098901,40,70,40.10989010989011,97,21
TCU,B12,58.574175824175825,1.92,17.3,19.5,2.1999999999999993,86,8.799999999999997,105.8,97.0,203,33,90.93406593406593,44.230769230769226,55,20,80.4945054945055,98,-12
Oregon St.,WCC,58.10714285714286,1.44,16.7,16.4,-0.3000000000000007,80,9.400000000000006,116.2,106.8,49,170,52.74725274725275,86.53846153846155,55,20,46.42857142857143,99,-19
Loyola Chicago,A10,58.05494505494505,2.48,17.2,17.3,0.10000000000000142,107,5.0,108.1,103.1,147,97,73.35164835164835,59.61538461538461,40,50,53.2967032967033,100,7
Troy,SB,57.80494505494505,1.09,19.8,19.6,-0.1999999999999993,95,7.0,107.4,100.4,162,63,82.6923076923077,55.219780219780226,55,20,48.62637362637363,101,-6
Colorado,B12,57.598901098901095,1.31,21.0,16.2,-4.800000000000001,86,8.799999999999997,108.6,99.8,142,56,84.34065934065934,60.98901098901099,55,20,0.0,102,-16
Northern Iowa,MVC,56.31593406593406,1.76,15.9,17.4,1.4999999999999982,102,6.099999999999994,109.6,103.5,119,102,71.97802197802197,67.3076923076923,40,20,70.6043956043956,103,-1
Akron,MAC,56.293956043956044,1.4,16.4,17.3,0.9000000000000021,100,6.5,113.6,107.1,71,182,50.0,80.4945054945055,55,20,62.91208791208791,104,-4
Murray St.,MVC,56.23351648351648,2.86,17.0,17.3,0.3000000000000007,138,2.299999999999997,106.8,104.5,179,123,65.93406593406593,50.54945054945055,40,70,55.769230769230774,105,33
Saint Louis,A10,56.16483516483516,2.94,18.6,14.3,-4.300000000000001,122,3.799999999999997,109.1,105.3,132,138,62.08791208791209,63.46153846153846,40,70,0.0,106,16
Kent St.,MAC,55.78846153846154,2.15,17.3,18.3,1.0,111,4.299999999999997,106.2,101.9,192,83,77.1978021978022,46.42857142857143,40,50,64.01098901098901,107,4
Wichita St.,Amer,55.75274725274725,2.87,16.3,15.5,-0.8000000000000007,136,2.5,107.2,104.7,171,126,64.83516483516483,53.02197802197802,40,70,37.91208791208791,108,28
Providence,BE,55.7032967032967,1.9,19.0,13.8,-5.199999999999999,97,6.899999999999992,112.1,105.2,87,134,62.91208791208791,76.0989010989011,55,20,0.0,109,-12
California,ACC,55.403846153846146,2.31,16.6,16.3,-0.3000000000000007,110,4.399999999999992,111.3,106.9,94,175,51.373626373626365,73.9010989010989,40,50,46.42857142857143,110,0
South Alabama,SB,55.395604395604394,0.69,14.6,20.6,6.000000000000002,109,4.5,107.7,103.2,151,98,72.8021978021978,58.51648351648352,40,20,100.0,111,-2
Chattanooga,SC,55.318681318681314,1.74,14.7,16.3,1.6000000000000014,94,7.1000000000000085,116.4,109.3,44,227,37.637362637362635,87.91208791208791,55,20,73.07692307692307,112,-18
UAB,Amer,54.52197802197802,1.74,13.8,15.2,1.3999999999999986,99,6.700000000000003,116.3,109.6,46,231,36.26373626373626,87.36263736263736,55,20,68.68131868131869,113,-14
Syracuse,ACC,54.189560439560445,2.48,17.9,14.1,-3.799999999999999,113,4.200000000000003,110.3,106.1,106,152,58.24175824175825,70.6043956043956,40,50,0.7142857142857135,114,-1
Loyola Marymount,WCC,54.17307692307692,2.56,15.2,15.7,0.5,155,0.4000000000000057,104.2,103.8,221,109,69.78021978021978,39.285714285714285,40,70,59.065934065934066,115,40
Florida Atlantic,Amer,54.002747252747255,2.0,16.3,16.0,-0.3000000000000007,116,4.099999999999994,112.6,108.5,80,209,42.582417582417584,78.02197802197803,40,50,46.42857142857143,116,0
Seattle,WAC,53.92307692307693,2.08,17.0,20.9,3.8999999999999986,145,1.4000000000000057,104.0,102.6,223,95,73.9010989010989,38.18681318681318,40,50,95.93406593406593,117,28
DePaul,BE,53.90659340659341,2.17,18.1,15.5,-2.6000000000000014,122,3.799999999999997,109.2,105.4,130,139,60.98901098901099,64.01098901098901,40,50,18.13186813186813,118,4
Bryant,AE,53.84340659340659,2.62,16.3,16.4,0.09999999999999787,148,1.0,106.8,105.8,180,151,58.51648351648352,50.54945054945055,40,70,52.472527472527474,119,29
Duquesne,A10,53.50824175824176,2.19,18.3,20.0,1.6999999999999993,140,2.1000000000000085,105.9,103.8,201,107,69.78021978021978,44.505494505494504,40,50,74.45054945054946,120,20
Northern Colorado,BSky,53.357142857142854,2.13,15.9,15.5,-0.40000000000000036,125,3.6000000000000085,112.2,108.6,86,210,42.30769230769231,76.37362637362637,40,50,45.05494505494506,121,4
North Alabama,ASun,53.282967032967036,1.85,12.8,16.6,3.8000000000000007,115,4.199999999999989,111.1,106.9,96,176,51.373626373626365,73.62637362637363,40,20,95.65934065934066,122,-7
UNC Greensboro,SC,53.192307692307686,2.1,15.3,16.4,1.0999999999999979,143,1.7999999999999972,107.3,105.5,165,143,60.43956043956044,54.395604395604394,40,50,64.83516483516483,123,20
UC Santa Barbara,BW,52.74450549450549,2.57,18.2,17.2,-1.0,146,1.1000000000000083,108.7,107.6,141,191,47.25274725274725,61.26373626373627,40,70,33.791208791208796,124,22
Winthrop,BSth,52.68956043956044,2.66,17.7,18.7,1.0,165,-0.0999999999999943,108.4,108.5,143,208,42.582417582417584,60.71428571428571,40,70,64.01098901098901,125,40
Virginia,ACC,52.63461538461538,1.52,16.4,15.7,-0.6999999999999993,106,5.099999999999994,110.6,105.5,103,144,60.43956043956044,71.7032967032967,40,20,39.83516483516483,126,-20
CSUN,BW,52.51098901098901,1.85,18.8,20.2,1.3999999999999986,116,4.099999999999994,109.0,104.9,135,129,64.01098901098901,62.91208791208791,40,20,68.68131868131869,127,-11
Milwaukee,Horz,52.450549450549445,2.09,19.4,18.3,-1.0999999999999979,141,2.0999999999999943,107.5,105.4,154,142,60.98901098901099,56.59340659340659,40,50,33.51648351648351,128,13
Georgia Tech,ACC,52.29120879120879,1.91,17.4,15.8,-1.5999999999999979,103,5.900000000000006,107.2,101.3,168,73,79.94505494505495,53.02197802197802,40,20,28.021978021978022,129,-26
Jacksonville St.,CUSA,51.83791208791208,1.63,15.9,13.5,-2.4000000000000004,108,4.899999999999992,109.8,104.9,110,130,64.01098901098901,68.95604395604396,40,20,18.956043956043956,130,-22
St. Bonaventure,A10,51.728021978021985,1.31,16.0,18.9,2.8999999999999986,121,3.899999999999992,105.3,101.4,209,76,79.12087912087912,42.582417582417584,40,20,84.34065934065934,131,-10
Towson,CAA,51.66758241758242,2.17,14.5,17.3,2.8000000000000007,151,0.5999999999999943,107.0,106.4,176,162,54.94505494505495,51.64835164835166,40,50,83.79120879120879,132,19
Wofford,SC,51.48901098901099,2.12,16.9,14.7,-2.1999999999999993,113,4.200000000000003,113.9,109.7,69,234,35.43956043956044,81.04395604395604,40,50,20.87912087912088,133,-20
Samford,SC,51.38461538461538,1.91,18.6,21.6,3.0,118,4.0,112.8,108.8,76,213,41.48351648351649,78.84615384615384,40,20,85.71428571428571,134,-16
Montana,BSky,51.32967032967033,2.59,16.1,15.5,-0.6000000000000014,163,0.0,110.6,110.6,99,251,31.043956043956044,71.7032967032967,40,70,40.10989010989011,135,28
East Carolina,Amer,51.23351648351648,2.64,15.6,17.4,1.799999999999999,176,-1.1000000000000083,107.1,108.2,174,201,44.230769230769226,52.197802197802204,40,70,76.0989010989011,136,40
George Washington,A10,50.97252747252747,1.64,18.6,19.2,0.5999999999999979,128,3.3999999999999915,107.1,103.7,173,106,70.87912087912088,52.197802197802204,40,20,60.98901098901099,137,-9
Robert Morris,Horz,50.629120879120876,1.45,18.2,18.7,0.5,132,2.9000000000000057,107.5,104.6,155,125,65.65934065934066,56.59340659340659,40,20,59.065934065934066,138,-6
Utah Valley,WAC,50.629120879120876,0.78,17.3,16.9,-0.40000000000000213,111,4.299999999999997,106.7,102.4,181,93,74.45054945054946,50.27472527472527,40,20,44.230769230769226,139,-28
Belmont,MVC,49.956043956043956,1.39,15.9,17.6,1.700000000000001,126,3.5999999999999943,112.6,109.0,79,220,39.285714285714285,78.02197802197803,40,20,75.27472527472527,140,-14
Charleston,CAA,49.84065934065934,2.11,16.2,16.4,0.1999999999999993,153,0.5,106.1,105.6,197,146,59.61538461538461,45.879120879120876,40,50,53.84615384615385,141,12
St. Thomas,Sum,49.69780219780219,1.33,13.8,18.5,4.699999999999999,129,3.299999999999997,113.7,110.4,70,246,31.59340659340659,80.76923076923077,40,20,99.78021978021978,142,-13
East Tennessee St.,SC,49.543956043956044,1.99,16.1,18.9,2.799999999999997,142,1.8999999999999917,106.8,104.9,178,131,64.01098901098901,50.54945054945055,40,20,83.51648351648352,143,-1
James Madison,SB,48.9065934065934,2.34,15.8,15.6,-0.20000000000000107,162,0.1999999999999886,110.6,110.4,98,249,31.59340659340659,71.7032967032967,40,50,48.35164835164835,144,18
Marshall,SB,48.78296703296703,2.31,16.5,16.8,0.3000000000000007,167,-0.2999999999999971,106.5,106.8,184,171,52.74725274725275,48.9010989010989,40,50,55.769230769230774,145,22
Rhode Island,A10,48.61813186813187,2.28,17.9,16.0,-1.8999999999999986,155,0.4000000000000057,108.0,107.6,149,192,47.25274725274725,59.065934065934066,40,50,24.45054945054945,146,9
New Mexico St.,CUSA,48.527472527472526,1.72,15.6,15.0,-0.5999999999999996,134,2.799999999999997,104.3,101.5,220,78,78.57142857142857,39.56043956043956,40,20,41.75824175824176,147,-13
Tulane,Amer,48.43131868131868,0.88,16.0,17.5,1.5,144,1.5,108.3,106.8,144,172,52.74725274725275,60.16483516483516,40,20,71.15384615384616,148,-4
Cal Baptist,WAC,48.06868131868132,2.1,17.7,18.1,0.40000000000000213,172,-0.7000000000000028,105.7,106.4,204,161,54.94505494505495,43.956043956043956,40,50,57.96703296703297,149,23
Cleveland St.,Horz,48.02197802197802,1.8,18.0,21.9,3.8999999999999986,153,0.5,105.0,104.5,213,124,65.93406593406593,41.48351648351649,40,20,95.93406593406593,150,3
